name,flavor,pumps,roast,shots,creamer,sugar,iced
Caramel Cloud Latte,Caramel,3,Light,1,True,True,False
Midnight Macchiato,Mocha,2,,1,False,False,False
Who Needs Amphetamines ,,,Medium,,True,False,True
Polar Mint ,Peppermint,1,Dark,,True,False,False
Golden Drizzle Latte,Caramel,3,,,True,False,True
Campfire Sweet ,Marshmallow,2,,,False,True,True
Autumn Glow ,Pumpkin Spice,4,,2,False,True,True
"Hit Me Baby, One S'more Time",Marshmallow,3,Light,,True,True,False
Choccy Milk,Mocha,2,Medium,,True,True,False
Nutter Butter,Hazelnut,1,,1,False,True,True
Cookie Jar Macchiato,Cookie Dough,3,,,True,True,True
Espresso Royale ,,,,5,True,False,False
Creamy Vanilla Swirl ,French Vanilla,5,,,False,False,True
Harvest Spice ,Pumpkin Spice,2,,,True,True,True
Dark Chocolate Dream Macchiato,Mocha,4,Dark,1,True,True,False
Vanilla Bean Mist ,French Vanilla,5,Light,,True,True,True
Toffee Delight Latte,Caramel,2,,,False,False,True
Spiced Pumpkin King ,Pumpkin Spice,1,,,True,True,False
Arctic Chill ,Peppermint,3,Dark,,True,True,True
Dunker,Cookie Dough,1,,,True,False,True
The Chocolate Classic ,Mocha,2,,2,True,False,False
Butterscotch Silk ,Caramel,3,,,False,True,False
Legal Crack,,,,,True,False,False
Smoky Embers Latte,Marshmallow,3,Dark,,False,False,False
Deez Nutz,Hazelnut,4,,3,False,False,False
Marshmallow Fluff Macchiato,Marshmallow,2,Dark,,True,True,True
I Can't Believe it's Not Salmonella,Cookie Dough,2,,,False,True,False
Vanilla Bean Day Dream,French Vanilla,4,Medium,3,False,True,True
"Vailla Ice, Ice Baby",French Vanilla,6,Medium,,True,False,True
This'll Fudge You Up,Mocha,3,,,True,True,False
Bonfire Bliss ,Marshmallow,2,Light,,True,True,True
Gingerbread Delight ,Pumpkin Spice,2,,,False,True,True
Spice Girls,Pumpkin Spice,4,,,False,False,True
I Want a Lawyer,,,,,True,True,False
The Choc-Blocker,Mocha,3,,2,False,False,False
French Kiss Vanilla ,French Vanilla,4,,,True,True,True
The Fall MVP,Pumpkin Spice,3,Medium,,True,True,True
Afterglow Delight ,Marshmallow,3,,1,False,False,True
You Choco-Lot of Smack,Mocha,3,Dark,1,False,True,False
The Daily Grind,,,,,True,True,False
Cookie Crunch,Cookie Dough,4,,,False,True,False
Golden Nugget ,Caramel,2,Medium,,True,True,True
Fluff,Marshmallow,4,,,False,False,True
Mint Julep ,Peppermint,3,,2,True,True,False
"January Embers, My Heart Burns There Too",Marshmallow,5,Light,,False,True,True
Caramel Apple Bite Macchiato,Caramel,6,Dark,,False,False,True
It's a Brewtiful Day!,,,Dark,,True,True,False
Silken Vanilla ,French Vanilla,2,,3,True,True,True
Praline Dream ,Hazelnut,5,,2,False,False,True
Toasty Treat ,Marshmallow,3,Medium,,False,True,False
Draw Me Like One of Your French Girls,French Vanilla,2,,,True,True,False
Gooey Goodness ,Cookie Dough,1,,,True,True,False
Roasted Hazel ,Hazelnut,4,Light,1,True,False,False
Guilty Pleasure,Cookie Dough,2,,,True,False,True
S'mores Base ,Marshmallow,2,,1,False,True,True
October Delight ,Marshmallow,3,,1,False,False,True
Mocha Choca Latte,Mocha,2,Dark,,True,False,False
Grandma's Purse Werther's,Caramel,1,Light,,False,False,False
Grown-Up Hot Cocoa,Mocha,1,Medium,1,True,True,False
Candied Caramel ,Caramel,2,,2,False,True,False
Elegant Vanilla ,French Vanilla,2,Light,,False,False,True
Life is What You Bake It,Cookie Dough,3,,,False,False,False
Flickering Flame ,Marshmallow,1,,,False,True,False
Velvet Mocha ,Mocha,2,,3,True,False,True
Cinnamon Hearth ,Pumpkin Spice,3,Light,2,True,True,True
Liquid Gold ,Caramel,4,,1,True,False,True
Cafe con Tu Madre,,,,,False,True,False
Sweet Creme ,French Vanilla,5,,,True,True,False
